# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 298.400879 -34.846893 -21005.300781 3338.293701 54487.417969 1.046999
600200 298.739197 -42.759853 -20930.630859 3342.078613 54489.671875 1.046956
600300 298.987061 -55.471909 -20891.052734 3344.851562 54542.402344 1.045944
600400 299.161682 -62.318672 -20855.960938 3346.805176 54581.304688 1.045198
600500 299.287567 -63.813461 -20826.759766 3348.213379 54614.070312 1.044571
600600 299.373138 -62.705132 -20804.291016 3349.170898 54639.148438 1.044092
600700 299.428528 -60.679031 -20787.746094 3349.790527 54657.417969 1.043743
600800 299.463043 -58.583305 -20775.853516 3350.176514 54670.347656 1.043496
600900 299.484009 -56.761909 -20767.443359 3350.411133 54679.367188 1.043324
601000 299.496490 -55.315651 -20761.570312 3350.550781 54685.593750 1.043205
601100 299.503815 -54.225594 -20757.511719 3350.632568 54689.867188 1.043124
601200 299.508087 -53.430717 -20754.736328 3350.680420 54692.785156 1.043068
601300 299.510620 -52.866417 -20752.861328 3350.708984 54694.757812 1.043030
601400 299.512115 -52.477650 -20751.615234 3350.725830 54696.085938 1.043005
601500 299.513062 -52.211475 -20750.796875 3350.736328 54696.980469 1.042988
601600 299.513702 -52.034142 -20750.275391 3350.743164 54697.558594 1.042977
601700 299.514160 -51.917992 -20749.955078 3350.748535 54697.953125 1.042969
601800 299.514526 -51.843132 -20749.769531 3350.752441 54698.199219 1.042965
601900 299.514862 -51.797466 -20749.667969 3350.756592 54698.355469 1.042962
602000 299.515228 -51.772446 -20749.630859 3350.760498 54698.437500 1.042960
602100 299.515533 -51.758633 -20749.625000 3350.763672 54698.472656 1.042959
602200 299.515839 -51.755692 -20749.650391 3350.767334 54698.480469 1.042959
602300 299.516144 -51.754028 -20749.683594 3350.770752 54698.468750 1.042960
602400 299.516449 -51.760727 -20749.728516 3350.773926 54698.449219 1.042960
602500 299.516724 -51.768543 -20749.777344 3350.777344 54698.417969 1.042961
602600 299.517029 -51.778034 -20749.830078 3350.780518 54698.375000 1.042961
602700 299.517334 -51.790848 -20749.882812 3350.783936 54698.339844 1.042962
602800 299.517639 -51.801926 -20749.931641 3350.787598 54698.285156 1.042963
602900 299.517883 -51.811611 -20749.982422 3350.790039 54698.234375 1.042964
603000 299.518158 -51.821850 -20750.035156 3350.793213 54698.187500 1.042965
603100 299.518433 -51.833817 -20750.078125 3350.796387 54698.140625 1.042966
603200 299.518707 -51.842377 -20750.121094 3350.799316 54698.093750 1.042967
603300 299.518951 -51.851543 -20750.162109 3350.802002 54698.046875 1.042968
603400 299.519196 -51.859566 -20750.201172 3350.804688 54698.011719 1.042968
603500 299.519440 -51.870392 -20750.240234 3350.807617 54697.960938 1.042969
603600 299.519653 -51.882191 -20750.275391 3350.810059 54697.917969 1.042970
603700 299.519897 -51.891689 -20750.310547 3350.812500 54697.875000 1.042971
603800 299.520081 -51.901249 -20750.341797 3350.814697 54697.835938 1.042972
603900 299.520294 -51.910206 -20750.375000 3350.817139 54697.796875 1.042972
604000 299.520477 -51.918335 -20750.400391 3350.819336 54697.761719 1.042973
604100 299.520691 -51.925449 -20750.425781 3350.821533 54697.714844 1.042974
604200 299.520874 -51.932190 -20750.453125 3350.823486 54697.679688 1.042975
604300 299.521057 -51.938282 -20750.476562 3350.825439 54697.648438 1.042975
604400 299.521210 -51.948078 -20750.500000 3350.827393 54697.613281 1.042976
604500 299.521362 -51.956406 -20750.521484 3350.829102 54697.582031 1.042976
604600 299.521515 -51.963058 -20750.541016 3350.830811 54697.550781 1.042977
604700 299.521667 -51.969402 -20750.558594 3350.832520 54697.523438 1.042978
604800 299.521820 -51.977962 -20750.576172 3350.833984 54697.492188 1.042978
604900 299.521973 -51.981346 -20750.591797 3350.835693 54697.464844 1.042979
605000 299.522125 -51.987106 -20750.603516 3350.837646 54697.441406 1.042979
605100 299.522247 -51.990860 -20750.615234 3350.839111 54697.410156 1.042980
605200 299.522369 -51.995277 -20750.626953 3350.840332 54697.386719 1.042980
605300 299.522491 -51.999542 -20750.638672 3350.841797 54697.359375 1.042981
605400 299.522552 -52.005024 -20750.652344 3350.842285 54697.332031 1.042981
605500 299.522675 -52.009914 -20750.664062 3350.843750 54697.304688 1.042982
605600 299.522766 -52.015175 -20750.673828 3350.844727 54697.281250 1.042982
605700 299.522858 -52.018654 -20750.679688 3350.845703 54697.253906 1.042983
605800 299.522949 -52.021595 -20750.683594 3350.846924 54697.234375 1.042983
605900 299.523041 -52.026485 -20750.691406 3350.847900 54697.210938 1.042984
606000 299.523163 -52.030052 -20750.697266 3350.849365 54697.187500 1.042984
606100 299.523285 -52.033840 -20750.705078 3350.850586 54697.164062 1.042984
606200 299.523376 -52.038521 -20750.712891 3350.851562 54697.148438 1.042985
606300 299.523438 -52.042095 -20750.720703 3350.852295 54697.125000 1.042985
606400 299.523499 -52.043869 -20750.724609 3350.853027 54697.101562 1.042986
606500 299.523590 -52.046242 -20750.726562 3350.854004 54697.082031 1.042986
606600 299.523651 -52.048584 -20750.732422 3350.854492 54697.054688 1.042987
606700 299.523712 -52.051949 -20750.736328 3350.855225 54697.039062 1.042987
606800 299.523804 -52.057613 -20750.740234 3350.856201 54697.023438 1.042987
606900 299.523834 -52.059273 -20750.744141 3350.856934 54697.000000 1.042988
607000 299.523926 -52.059895 -20750.744141 3350.857910 54696.980469 1.042988
607100 299.523987 -52.062511 -20750.748047 3350.858643 54696.957031 1.042988
607200 299.524048 -52.065716 -20750.750000 3350.859131 54696.937500 1.042989
607300 299.524109 -52.070171 -20750.750000 3350.859863 54696.917969 1.042989
607400 299.524170 -52.071472 -20750.751953 3350.860596 54696.902344 1.042989
607500 299.524231 -52.074493 -20750.751953 3350.861084 54696.886719 1.042990
607600 299.524292 -52.076096 -20750.753906 3350.861816 54696.875000 1.042990
607700 299.524323 -52.079243 -20750.753906 3350.862061 54696.859375 1.042990
607800 299.524384 -52.080399 -20750.755859 3350.862793 54696.839844 1.042991
607900 299.524414 -52.082298 -20750.755859 3350.863037 54696.816406 1.042991
608000 299.524475 -52.086704 -20750.757812 3350.863770 54696.796875 1.042991
608100 299.524536 -52.087460 -20750.761719 3350.864502 54696.785156 1.042992
608200 299.524597 -52.090343 -20750.763672 3350.865234 54696.765625 1.042992
608300 299.524628 -52.091728 -20750.763672 3350.865479 54696.750000 1.042992
608400 299.524689 -52.095291 -20750.761719 3350.866211 54696.734375 1.042993
608500 299.524719 -52.096581 -20750.761719 3350.866455 54696.718750 1.042993
