# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 298.164154 -33.730911 -21075.984375 3335.645752 54561.585938 1.045576
600200 298.719940 -75.559349 -21001.548828 3341.863281 54546.929688 1.045857
600300 299.009338 -93.778069 -20960.187500 3345.100830 54574.605469 1.045327
600400 299.221436 -101.609741 -20923.263672 3347.473633 54596.171875 1.044914
600500 299.379730 -103.124191 -20892.130859 3349.244385 54616.597656 1.044523
600600 299.492096 -101.553093 -20867.585938 3350.501465 54633.417969 1.044201
600700 299.568420 -98.818428 -20849.007812 3351.355469 54646.351562 1.043954
600800 299.618622 -95.947609 -20835.298828 3351.916992 54655.957031 1.043771
600900 299.650940 -93.404442 -20825.351562 3352.278564 54662.976562 1.043637
601000 299.671509 -91.334183 -20818.205078 3352.508789 54668.078125 1.043539
601100 299.684570 -89.736595 -20813.119141 3352.654785 54671.765625 1.043469
601200 299.692902 -88.542953 -20809.511719 3352.748047 54674.460938 1.043418
601300 299.698242 -87.669113 -20806.957031 3352.807861 54676.437500 1.043380
601400 299.701752 -87.035889 -20805.144531 3352.847168 54677.914062 1.043352
601500 299.704132 -86.573364 -20803.843750 3352.873779 54679.046875 1.043330
601600 299.705719 -86.237808 -20802.904297 3352.891602 54679.921875 1.043313
601700 299.706818 -85.984840 -20802.203125 3352.903809 54680.636719 1.043300
601800 299.707611 -85.791969 -20801.669922 3352.912842 54681.230469 1.043288
601900 299.708130 -85.636917 -20801.248047 3352.918457 54681.742188 1.043279
602000 299.708527 -85.510124 -20800.898438 3352.923096 54682.195312 1.043270
602100 299.708862 -85.400581 -20800.605469 3352.926758 54682.597656 1.043262
602200 299.709045 -85.303162 -20800.345703 3352.928711 54682.972656 1.043255
602300 299.709229 -85.215080 -20800.113281 3352.930664 54683.300781 1.043249
602400 299.709412 -85.135292 -20799.898438 3352.932861 54683.589844 1.043243
602500 299.709564 -85.058365 -20799.701172 3352.934570 54683.863281 1.043238
602600 299.709686 -84.993637 -20799.523438 3352.936035 54684.105469 1.043234
602700 299.709808 -84.929352 -20799.361328 3352.937256 54684.312500 1.043230
602800 299.709930 -84.877357 -20799.214844 3352.938477 54684.492188 1.043226
602900 299.710083 -84.827339 -20799.080078 3352.940186 54684.644531 1.043223
603000 299.710205 -84.786362 -20798.964844 3352.941650 54684.769531 1.043221
603100 299.710388 -84.749809 -20798.865234 3352.943848 54684.871094 1.043219
603200 299.710510 -84.716560 -20798.785156 3352.945068 54684.945312 1.043218
603300 299.710663 -84.687241 -20798.710938 3352.946777 54684.996094 1.043216
603400 299.710815 -84.663345 -20798.650391 3352.948486 54685.039062 1.043216
603500 299.710938 -84.646736 -20798.595703 3352.949707 54685.062500 1.043215
603600 299.711060 -84.634697 -20798.556641 3352.951172 54685.070312 1.043215
603700 299.711182 -84.624451 -20798.527344 3352.952881 54685.070312 1.043215
603800 299.711334 -84.616875 -20798.505859 3352.954346 54685.054688 1.043215
603900 299.711456 -84.610947 -20798.494141 3352.955811 54685.027344 1.043216
604000 299.711578 -84.610046 -20798.484375 3352.957031 54685.007812 1.043216
604100 299.711700 -84.606544 -20798.476562 3352.958496 54684.976562 1.043217
604200 299.711792 -84.605705 -20798.474609 3352.959473 54684.929688 1.043218
604300 299.711884 -84.606178 -20798.476562 3352.960449 54684.890625 1.043218
604400 299.712006 -84.608223 -20798.482422 3352.961670 54684.851562 1.043219
604500 299.712097 -84.609459 -20798.490234 3352.962891 54684.800781 1.043220
604600 299.712219 -84.610924 -20798.498047 3352.964355 54684.761719 1.043221
604700 299.712311 -84.611534 -20798.509766 3352.965332 54684.714844 1.043222
604800 299.712402 -84.617264 -20798.519531 3352.966309 54684.675781 1.043223
604900 299.712463 -84.618935 -20798.535156 3352.967041 54684.617188 1.043224
605000 299.712555 -84.620689 -20798.546875 3352.968018 54684.566406 1.043225
605100 299.712616 -84.625565 -20798.562500 3352.968506 54684.523438 1.043226
605200 299.712708 -84.629898 -20798.576172 3352.969727 54684.468750 1.043227
605300 299.712769 -84.635498 -20798.589844 3352.970215 54684.425781 1.043227
