# TimeStep Temp Press PotEng KinEng Volume Density
0 297.17 -55.88 -21141.71 3350.00 54000.00 1.0447
100 298.28 -152.63 -21055.46 3350.00 54000.00 1.0468
200 298.84 -159.06 -21030.74 3350.00 54000.00 1.0472
300 299.23 -155.29 -21006.06 3350.00 54000.00 1.0475
400 299.48 -147.13 -20983.50 3350.00 54000.00 1.0477
500 299.66 -137.83 -20964.28 3350.00 54000.00 1.0478
600 299.78 -128.94 -20948.57 3350.00 54000.00 1.0478
700 299.86 -121.09 -20936.07 3350.00 54000.00 1.0478
800 299.91 -114.47 -20926.32 3350.00 54000.00 1.0477
900 299.95 -109.06 -20918.79 3350.00 54000.00 1.0477
1000 299.98 -104.71 -20913.05 3350.00 54000.00 1.0477
1100 300.00 -101.27 -20908.69 3350.00 54000.00 1.0476
1200 300.01 -98.57 -20905.38 3350.00 54000.00 1.0476
1300 300.02 -96.45 -20902.86 3350.00 54000.00 1.0476
1400 300.03 -94.80 -20900.95 3350.00 54000.00 1.0476
1500 300.04 -93.51 -20899.48 3350.00 54000.00 1.0476
1600 300.04 -92.50 -20898.35 3350.00 54000.00 1.0476
1700 300.04 -91.71 -20897.48 3350.00 54000.00 1.0475
1800 300.05 -91.08 -20896.79 3350.00 54000.00 1.0475
1900 300.05 -90.59 -20896.25 3350.00 54000.00 1.0475
2000 300.05 -90.20 -20895.83 3350.00 54000.00 1.0475
2100 300.05 -89.88 -20895.48 3350.00 54000.00 1.0475
2200 300.05 -89.62 -20895.21 3350.00 54000.00 1.0475
2300 300.05 -89.42 -20894.98 3350.00 54000.00 1.0475
2400 300.05 -89.25 -20894.80 3350.00 54000.00 1.0475
2500 300.05 -89.11 -20894.65 3350.00 54000.00 1.0475
2600 300.05 -88.99 -20894.52 3350.00 54000.00 1.0475
2700 300.05 -88.90 -20894.42 3350.00 54000.00 1.0475
2800 300.05 -88.82 -20894.32 3350.00 54000.00 1.0475
2900 300.05 -88.75 -20894.25 3350.00 54000.00 1.0475
3000 300.05 -88.69 -20894.19 3350.00 54000.00 1.0475
