epsilon,AUC_L1,AUC_L2,AUC_Linf,Susc_L1,Susc_L2,Susc_Linf,Thermo_Temp_MSE,Thermo_Temp_Corr,Thermo_Press_MSE,Thermo_Press_Corr,Thermo_PE_MSE,Thermo_PE_Corr,Thermo_KE_MSE,Thermo_KE_Corr,Thermo_Vol_MSE,Thermo_Vol_Corr,Thermo_Dens_MSE,Thermo_Dens_Corr,RDF_CC_MSE,RDF_CC_Corr,RDF_CO_MSE,RDF_CO_Corr,RDF_OO_MSE,RDF_OO_Corr
0.05,552184.5982675,27659.894410144196,2643.1106433333334,-2178031.5133111123,-113630.52215466308,-12776.929691666668,16.734663266730053,0.0037307608991432,47000.490508812174,0.0506167689959854,5268.270680962751,0.024132488876596,2087.828329335064,0.003722328474972,118959.8141682574,0.0504507597406109,3.994022233000008e-05,0.0506286935479201,67.0525088228374,0.147676455163262,0.0607933846702674,0.7904295424131795,0.2763639887179834,0.3565279709750761
0.1,445035.5226083334,22254.827907903964,2124.1433525,-1463187.2264833339,-71865.89487814452,-6826.543358333336,16.93324621920994,-0.0098264539357113,50328.45332826778,0.0166411409142927,7061.804316205758,-0.0352881395093711,2112.421834539498,-0.009838445790605,163019.0737609877,0.0056954532846178,5.589603964999917e-05,0.0055544079601665,59.75564622914313,0.0349471378087584,0.0607972076494216,0.904930846801264,0.2704107339279463,0.3385077016203093
0.15,405865.87561916665,20473.304922329742,1960.4563074999999,-1084343.3671555556,-43894.77479090137,-961.2627222222254,13.069398774677314,0.0338692053231509,50093.118260816176,-0.0217107641183978,5547.465235644119,-0.0615906364313051,1630.0624337898769,0.0338704420323716,123441.75638263243,0.055981044041275,4.296306435800047e-05,0.0564900936756062,58.12526659527744,-0.0034716193449427,0.0654349810653698,0.8568363402231499,0.2728837116383277,0.3557254800969793
0.2,336601.1858927778,17865.350428813825,2028.017080277778,-931296.1916833329,-33300.36432558132,2235.583325000007,9.29934911451433,0.009416205787515,65712.24844782802,-0.0596600707895559,3953.346641862933,-0.0108624740317529,1159.8655739930932,0.0094282702114252,114804.3246288092,0.0250772699272761,4.027359487800004e-05,0.025011262620387,63.95437961227935,-0.1057161672639513,0.0815310760317706,0.807340423491087,0.2748080467235398,0.3472234921661548
0.25,312736.25645083335,17143.26848977161,2184.0146400000003,94682.71020555496,4647.392809221754,2163.2275361111097,7.976754207453585,-0.0043553997968056,71786.77725513802,0.0045479239280217,4019.456734306096,-0.0139828041373703,995.4175445672744,-0.0043547593926991,117729.90930884058,-0.0007693396958829,4.185895224399951e-05,-0.0006879898592717,62.033817176402906,-0.0908850742456143,0.0965528241055129,0.700052685224099,0.2801180862862533,0.3461549761854162
0.3,346069.4569133333,18330.089709736,2244.3398338888887,665505.8991666664,20988.157709074992,-2451.9473833333395,5.659189363725369,0.0328314972335434,126790.7711700608,-0.0163085487335833,6135.050608241124,0.0309802228004876,706.9591004751885,0.0328262075942971,170955.29536884106,-0.0170307637074501,6.150768447999987e-05,-0.016916227868332,60.89075312540612,-0.0944999545150598,0.0814125356094747,0.8286412861859855,0.2782114711887485,0.3401786750982479
0.35,379286.84636749997,19242.08426067911,1938.8199016666667,838259.7114916658,32952.50498032823,-370.8745222222133,5.866001837161831,0.0071606744725349,148990.34258137012,0.0161879412708295,3960.710460698843,-0.0348120640731609,733.7400215101816,0.0071483768898659,128985.00200118944,0.006655304211289,4.670355088999998e-05,0.0069610977194046,57.01521088143493,-0.139546135785109,0.0916639306954021,0.715146705151973,0.2657250665068418,0.3484815733373023
0.4,429895.42806249997,21625.340207768822,2207.2523816666676,1279891.4563499996,62317.156995133,5085.172658333333,6.771490440138811,-0.0122791997997964,56366.007397473615,0.0605455141089694,16136.08398156714,-0.0186364642997014,849.2058633603955,-0.0122400215554864,90088.18966318542,0.0205701013778457,3.286045900400002e-05,0.0201885457942658,55.85188969675901,-0.1385486025266986,0.0870923817604959,0.767289595791,0.2610972379688833,0.3431985713633194
0.45,507275.9920025,25473.79996019241,2447.3371675000003,1880358.3542250004,95466.61023540731,7202.489016666663,5.962893817144603,0.0247697580735621,62540.32014395603,-0.004729600715707,22073.17472498821,-0.0043958730763538,745.9670682313862,0.0247784632649443,99323.214853029,0.044433979319136,3.663835094399987e-05,0.0443865767177328,55.202524435675016,-0.1111718857088189,0.092207340882715,0.7398683259333886,0.2615046161978412,0.3499021337710143
0.5,617931.263485,31172.00123130955,2927.5012833333335,2213105.4296500008,113964.02542234285,9603.282316666666,5.747192013337366,0.0584278226294138,59897.79304562727,0.0204775046846239,49802.090557883865,-0.0048044549782114,718.9325367385824,0.0584241913769895,146554.6591490341,-0.0183162178628294,5.4307026137999954e-05,-0.018517621090796,57.45444084531534,-0.135219816141459,0.0989116483569402,0.7194960197203129,0.2664061028732364,0.3507865598686356
